"V1","word","wf","img","os","ps","ons","pns","op_uncond","op_coda","op_onset","log_wf","log_ons","log_pns","word_length"
4765,"stilt",0,4.3,-0.043314796986381,-0.0336241287052811,8,12,0.1385101,0,0,0,0.954242509439325,1.11394335230684,5
4766,"stilts",12,NA,-0.0022748817171494,-0.0004951303538732,7,5,0.1385101,0,0,1.11394335230684,0.903089986991944,0.778151250383644,6
4767,"sting",180,5,0.0528186125100993,0.0618577128872527,14,34,0.1385101,0,0,2.25767857486918,1.17609125905568,1.54406804435028,5
4768,"stings",8,NA,0.0590058375232692,0.14755640445662,10,16,0.1385101,0,0,0.954242509439325,1.04139268515822,1.23044892137827,6
4769,"stink",28,3.9,0.059535754883658,0.0252426905666878,11,16,0.1385101,0,0,1.46239799789896,1.07918124604762,1.23044892137827,5
4770,"stinks",48,NA,NA,NA,NA,NA,0.1385101,0,0,1.69019608002851,NA,NA,6
4771,"stint",232,2.4,0.0078433832325126,-0.0129125731717656,8,7,0.1385101,0.0931094,0,2.36735592102602,0.954242509439325,0.903089986991944,5
4772,"stints",63,NA,NA,NA,NA,NA,0.1385101,0.2064509,0,1.80617997398389,NA,NA,6
4773,"stir",342,4.5,-0.0220875639632406,0.0136566904819989,5,17,0.03242148,0.3219281,0,2.53529412004277,0.778151250383644,1.25527250510331,4
4774,"stirred",317,NA,0.0791310001700092,0.0789012333328361,2,4,0,0,0,2.50242711998443,0.477121254719662,0.698970004336019,7
4775,"stirs",60,NA,0.0378717305548727,0.0194471050136639,5,19,0.03242148,0,0,1.78532983501077,0.778151250383644,1.30102999566398,5
4776,"stitch",19,5.3,0.0145523593339378,0.073949663209702,2,10,0.1385101,0,0,1.30102999566398,0.477121254719662,1.04139268515822,6
4777,"stock",85270,3.8,0.0813317430268939,0.0572045501200232,11,21,0.6008455,0,0,4.93080135612198,1.07918124604762,1.34242268082221,5
4778,"stocks",20512,NA,0.125011404908726,0.0799253067379583,10,19,0.6008455,0,0,4.31202918002554,1.04139268515822,1.30102999566398,6
