D_word,O-S consistency,P-S consistency,O-S consistency: GLoVe,P-S consistency: GLoVe,orth neighborhood size,phon neighborhood size
insanitary,NA,NA,0.498417531733157,0.498417531733157,1,1
insanity,NA,NA,0.293582579277545,0.293582579277545,1,2
insatiable,NA,NA,0.311931236831128,NA,2,1
inscribe,-0.00508199295832025,-0.00508199295832025,0.376756183939737,0.376756183939737,4,4
inscribed,-0.00508199295832025,-0.00508199295832025,0.246725019110191,0.246725019110191,3,3
inscription,0.124259221448176,0.124259221448176,0.752860318797266,0.353972508255615,1,2
inscriptions,0.124259221448176,0.124259221448176,0.752860318797266,0.43634603524255,1,2
inscrutable,NA,NA,0.39571000653542,NA,1,0
insect,0.223102199132604,0.231763153489994,0.236301741031559,0.221531459247763,7,10
insecticide,0.88627590289733,0.88627590289733,0.707074594883264,0.707074594883264,1,1
insecticides,0.88627590289733,0.88627590289733,0.707074594883264,0.707074594883264,1,1
insects,0.22722540349474,0.279716795421963,0.16668942747608,0.206166715044412,8,6
insecure,NA,NA,0.270711396363972,0.270711396363972,1,1
insecurity,NA,0.127215987578873,NA,0.454063251280727,1,2
inseminate,NA,NA,0.483162608000583,NA,2,1
insensible,0.275896722505192,NA,NA,NA,2,1
inseparable,0.0218329460883505,NA,0.235905344267585,NA,2,0
insert,0.0310517792401721,0.0424620043575438,0.25255020837918,0.216257015669549,5,6
inserted,0.0721927329884179,0.0394736208057553,0.183465161440418,0.090256897166925,1,2
insertion,0.00831860859160287,0.00831860859160287,0.439311529243495,0.439311529243495,1,1
